"16466","0","1000"
"16466","1","1000"
"16466","2","1000"
"16466","3","1000"
"16466","4","1000"
"16466","5","1000"
"16466","6","1000"
"16466","7","1000"
"16466","8","1000"
"16466","9","1000"
"16466","10","1000"
"16466","11","1000"
"16466","12","1000"
"16466","13","1000"
"16466","14","1000"
"16466","15","1000"
"16466","16","1000"
"16466","17","1000"
"16466","18","1000"
"16466","19","1000"
"16466","20","1000"
"16466","21","1000"
"16466","22","1000"
"16466","23","1000"
"16466","24","1000"
"16466","25","1000"
"16466","26","1000"
"16466","27","1000"
"16466","28","1000"
"16466","29","1000"
"16466","30","1000"
"16466","31","1000"
"16466","32","1000"
"16466","33","1000"
"16466","34","1000"
"16466","35","1000"
"16466","36","1000"
"16466","37","1000"
"16466","38","1000"
"16466","39","1000"
"16466","40","1000"
"16466","41","1000"
"16466","42","1000"
"16466","43","1000"
"16466","44","1000"
"16466","45","1000"
"16466","46","1000"
"16466","47","1000"
"16466","48","1000"
"16466","49","1000"
"16466","50","1000"
"16466","51","1000"
"16466","52","1000"
"16466","53","1000"
"16466","54","1000"
"16466","55","1000"
"16466","56","1000"
"16466","57","1000"
"10868","0","1000"
"10868","1","1000"
"10868","2","1000"
"10868","3","1000"
"10868","4","1000"
"10868","5","1000"
"10868","6","1000"
"10868","7","1000"
"10868","8","1000"
"10868","9","1000"
"10868","10","1000"
"10868","11","1000"
"10868","12","1000"
"10868","13","1000"
"10868","14","1000"
"10868","15","1000"
"10868","16","1000"
"10868","17","1000"
"10868","18","1000"
"10868","19","1000"
"10868","20","1000"
"10868","21","1000"
"10868","22","1000"
"10868","23","1000"
"10868","24","1000"
"10868","25","1000"
"10868","26","1000"
"10868","27","1000"
"10868","28","1000"
"10868","29","1000"
"10868","30","1000"
"10868","31","1000"
"10868","32","1000"
"10868","33","1000"
"10868","34","1000"
"10868","35","1000"
"10868","36","1000"
"10868","37","1000"
"10868","38","1000"
"10868","39","1000"
"10868","40","1000"
"10868","41","1000"
"10868","42","1000"
"10868","43","1000"
"10868","44","1000"
"10868","45","1000"
"10868","46","1000"
"10868","47","1000"
"10868","48","1000"
"10868","49","1000"
"10868","50","1000"
"10868","51","1000"
"10868","52","1000"
"10868","53","1000"
"10868","54","1000"
"10868","55","1000"
"10868","56","1000"
"10868","57","1000"
"16529","1","1"
"16529","16","300"
"16529","25","500"
"16529","26","92"
"16529","27","1"
"16529","43","300"
"16529","46","500"
"16491","0","1000"
"16491","1","1000"
"16491","2","1000"
"16491","3","1000"
"16491","4","1000"
"16491","5","1000"
"16491","6","1000"
"16491","7","1000"
"16491","8","1000"
"16491","9","1000"
"16491","10","1000"
"16491","11","1000"
"16491","12","1000"
"16491","13","1000"
"16491","14","1000"
"16491","15","1000"
"16491","16","1000"
"16491","17","1000"
"16491","18","1000"
"16491","19","1000"
"16491","20","1000"
"16491","21","1000"
"16491","22","1000"
"16491","23","1000"
"16491","24","1000"
"16491","25","1000"
"16491","26","1000"
"16491","27","1000"
"16491","28","1000"
"16491","29","1000"
"16491","30","1000"
"16491","31","1000"
"16491","32","1000"
"16491","33","1000"
"16491","34","1000"
"16491","35","1000"
"16491","36","1000"
"16491","37","1000"
"16491","38","1000"
"16491","39","1000"
"16491","40","1000"
"16491","41","1000"
"16491","42","1000"
"16491","43","1000"
"16491","44","1000"
"16491","45","1000"
"16491","46","1000"
"16491","47","1000"
"16491","48","1000"
"16491","49","1000"
"16491","50","1000"
"16491","51","1000"
"16491","52","1000"
"16491","53","1000"
"16491","54","1000"
"16491","55","1000"
"16491","56","1000"
"16491","57","1000"
"12255","1","253"
"12255","16","219"
"12255","25","500"
"12255","26","500"
"12255","43","341"
"12540","1","260"
"12540","16","238"
"12540","25","500"
"12540","26","500"
"12540","43","317"
"16514","16","300"
"16514","25","500"
"16514","26","8"
"16514","43","300"
"16514","46","500"
"16452","16","300"
"16452","25","500"
"16452","26","8"
"16452","43","300"
"16452","46","500"
"16488","16","300"
"16488","25","500"
"16488","26","16"
"16488","43","300"
"16488","46","500"
"16979","0","1000"
"16979","1","1000"
"16979","2","1000"
"16979","3","1000"
"16979","4","1000"
"16979","5","1000"
"16979","6","1000"
"16979","7","1000"
"16979","8","1000"
"16979","9","1000"
"16979","10","1000"
"16979","11","1000"
"16979","12","1000"
"16979","13","1000"
"16979","14","1000"
"16979","15","1000"
"16979","16","1000"
"16979","17","1000"
"16979","18","1000"
"16979","19","1000"
"16979","20","1000"
"16979","21","1000"
"16979","22","1000"
"16979","23","1000"
"16979","24","1000"
"16979","25","1000"
"16979","26","1000"
"16979","27","1000"
"16979","28","1000"
"16979","29","1000"
"16979","30","1000"
"16979","31","1000"
"16979","32","1000"
"16979","33","1000"
"16979","34","1000"
"16979","35","1000"
"16979","36","1000"
"16979","37","1000"
"16979","38","1000"
"16979","39","1000"
"16979","40","1000"
"16979","41","1000"
"16979","42","1000"
"16979","43","1000"
"16979","44","1000"
"16979","45","1000"
"16979","46","1000"
"16979","47","1000"
"16979","48","1000"
"16979","49","1000"
"16979","50","1000"
"16979","51","1000"
"16979","52","1000"
"16979","53","1000"
"16979","54","1000"
"16979","55","1000"
"16979","56","1000"
"16979","57","1000"
