"16466","0","7939","2301"
"16466","1","8251","1102"
"10868","0","7939","2301"
"10868","1","8268","1109"
"10868","2","8265","1109"
"16529","0","7939","2301"
"16529","1","8251","1102"
"16491","0","5399","2"
"16491","1","5422","2"
"16491","2","5903","1751"
"16491","3","5062","0"
"16491","4","7939","1337"
"16491","5","3834","0"
"16491","6","5912","0"
"12255","0","7933","2"
"12255","1","5422","2"
"12255","2","5903","1751"
"12255","3","5062","0"
"12255","4","7939","1312"
"12255","5","3834","0"
"12255","6","8251","1102"
"12540","0","5399","2"
"12540","1","5422","2"
"12540","2","5903","1727"
"12540","3","5062","0"
"12540","4","7939","1319"
"12540","5","3834","0"
"12540","6","8251","1102"
"16514","0","7939","2301"
"16514","1","8251","1102"
"16452","0","8270","0"
"16488","0","7939","2301"
"16488","1","8251","1102"
"16979","0","5399","2"
"16979","1","5433","2"
"16979","2","5903","1711"
"16979","3","7939","1316"
"16979","4","8251","1102"
